SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,March-31-2021,Single Family Residential,28 Hillandale Rd,Danbury,CT,06811,499900,3,3.0,Danbury,2490,12196,2016,201,201,,Sold,,,http://www.redfin.com/CT/Danbury/28-Hillandale-Rd-06811/home/143122930,Smart MLS,170373555,N,Y,41.4290875,-73.4837711
PAST SALE,August-6-2021,Condo/Co-op,1465 E Putnam Ave #519,Greenwich,CT,06870,370000,1,1.0,Old Greenwich,765,,1977,73,484,395,Sold,,,http://www.redfin.com/CT/Old-Greenwich/1465-E-Putnam-Ave-06870/unit-519/home/107021872,Smart MLS,170404106,N,Y,41.0468381,-73.5704711
PAST SALE,August-12-2021,Condo/Co-op,9 Blue Mountain Rdg #9,Norwalk,CT,06851,456000,3,3.0,Cranbury,2199,,1987,67,207,490,Sold,,,http://www.redfin.com/CT/Norwalk/9-Blue-Mountain-Rdg-06851/unit-9/home/174374315,Smart MLS,170408281,N,Y,41.1317164,-73.4095463
PAST SALE,May-31-2019,Condo/Co-op,61 Hidden Brook Trl #61,Bethel,CT,06801,438000,3,3.5,Grassy Plain,3158,,2010,871,139,390,Sold,,,http://www.redfin.com/CT/Bethel/61-Hidden-Brook-Trl-06801/unit-61/home/147982642,Smart MLS,170176264,N,Y,41.3708439,-73.4336293
PAST SALE,November-13-2020,Condo/Co-op,30 Glenbrook Rd Unit 3D,Stamford,CT,06902,176000,1,1.0,Glenbrook,797,,1962,339,221,449,Sold,,,http://www.redfin.com/CT/Stamford/30-Glenbrook-Rd-06902/unit-3D/home/107108371,Smart MLS,170322054,N,Y,41.0564237,-73.5297339
PAST SALE,August-17-2020,Single Family Residential,46 Prudence Dr,Stamford,CT,06907,565000,4,2.0,Springdale,1628,10018,1950,427,347,,Sold,,,http://www.redfin.com/CT/Stamford/46-Prudence-Dr-06907/home/107082643,Smart MLS,170307041,N,Y,41.1003506,-73.5190232
PAST SALE,November-20-2019,Single Family Residential,24 White Birch Rd,Ridgefield,CT,06877,433750,4,3.0,Ridgefield,3028,44431,1955,698,143,,Sold,,,http://www.redfin.com/CT/Ridgefield/24-White-Birch-Rd-06877/home/53648384,Smart MLS,170187678,N,Y,41.245148,-73.4939526
PAST SALE,August-9-2021,Single Family Residential,1980 Cutspring Rd,Stratford,CT,06614,521500,4,2.5,Stratford,3185,26571,1991,70,164,,Sold,,,http://www.redfin.com/CT/Stratford/1980-Cutspring-Rd-06614/home/107219283,Smart MLS,170407198,N,Y,41.2426509,-73.1302237
PAST SALE,September-16-2021,Single Family Residential,121 Alberts Hill Rd,Newtown,CT,06482,710000,4,2.5,Sandy Hook,3480,93654,1995,32,204,,Sold,,,http://www.redfin.com/CT/Sandy-Hook/121-Alberts-Hill-Rd-06482/home/107638831,Smart MLS,170400102,N,Y,41.445563,-73.307146
PAST SALE,March-19-2021,Single Family Residential,90 Portland Ave,Wilton,CT,06897,485000,3,2.5,Georgetown,1710,53578,1995,213,284,,Sold,,,http://www.redfin.com/CT/Wilton/90-Portland-Ave-06897/home/107150493,Smart MLS,170350854,N,Y,41.2637249,-73.4374726
PAST SALE,June-1-2021,Condo/Co-op,216 Melody Ln #216,Fairfield,CT,06824,365000,3,1.5,Fairfield,1355,,1974,139,269,318,Sold,,,http://www.redfin.com/CT/Fairfield/216-Melody-Ln-06824/unit-216/home/172904365,Smart MLS,170385532,N,Y,41.1793719,-73.2499601
PAST SALE,November-16-2020,Single Family Residential,12 Empire Ln,Bethel,CT,06801,640000,4,2.5,Bethel,4640,49658,1997,336,138,,Sold,,,http://www.redfin.com/CT/Bethel/12-Empire-Ln-06801/home/107276484,Smart MLS,170331777,N,Y,41.4006242,-73.3845234
PAST SALE,July-16-2021,Single Family Residential,42 Well Ave,Danbury,CT,06810,350000,3,1.5,Danbury,1572,13068,1880,94,223,,Sold,,,http://www.redfin.com/CT/Danbury/42-Well-Ave-06810/home/107000206,Smart MLS,170396069,N,Y,41.3923743,-73.4697882
PAST SALE,May-7-2021,Single Family Residential,30 Cherry St,Darien,CT,06820,565000,3,2.0,Noroton Heights,1432,6098,1951,164,395,,Sold,,,http://www.redfin.com/CT/Darien/30-Cherry-St-06820/home/107157763,Smart MLS,170244589,N,Y,41.0686235,-73.4834138
PAST SALE,October-1-2021,Condo/Co-op,19 Ryan Ave Unit B,Norwalk,CT,06854,442000,3,2.5,South Norwalk,2388,,2007,17,185,250,Sold,,,http://www.redfin.com/CT/Norwalk/19-Ryan-Ave-06854/unit-B/home/107828770,Smart MLS,170407220,N,Y,41.080825,-73.4257328
PAST SALE,July-1-2019,Single Family Residential,160 Rock Rimmon Rd,Stamford,CT,06903,596500,4,3.0,North Stamford,2324,43560,1965,840,257,,Sold,,,http://www.redfin.com/CT/Stamford/160-Rock-Rimmon-Rd-06903/home/107101799,Smart MLS,170131277,N,Y,41.1408207,-73.5641749
PAST SALE,August-28-2020,Condo/Co-op,100 Richards Ave #109,Norwalk,CT,06854,366000,2,2.0,West Norwalk,1101,,2019,416,332,410,Sold,,,http://www.redfin.com/CT/Norwalk/100-Richards-Ave-06854/unit-109/home/107821273,Smart MLS,170300896,N,Y,41.0969588,-73.451605
PAST SALE,June-28-2021,Single Family Residential,11 Elaine St,Trumbull,CT,06611,414611,2,1.5,Trumbull,1245,21344,1948,112,333,,Sold,,,http://www.redfin.com/CT/Trumbull/11-Elaine-St-06611/home/107206909,Smart MLS,170400089,N,Y,41.2382749,-73.2124073
PAST SALE,January-21-2021,Single Family Residential,1 Cornwall Dr,Norwalk,CT,06850,480000,3,2.0,Norwalk,1235,13939,1963,270,389,,Sold,,,http://www.redfin.com/CT/Norwalk/1-Cornwall-Dr-06850/home/107812607,Smart MLS,170355479,N,Y,41.1255557,-73.4423985
PAST SALE,September-21-2021,Single Family Residential,267 Thunder Lake Rd,Wilton,CT,06897,780000,4,2.5,Wilton,2568,95832,1992,27,304,,Sold,,,http://www.redfin.com/CT/Wilton/267-Thunder-Lake-Rd-06897/home/107151568,Smart MLS,170412623,N,Y,41.2620236,-73.4451197
PAST SALE,June-21-2019,Single Family Residential,18 Topfield Rd,Danbury,CT,06811,442000,4,2.5,King St.,2960,34848,1975,850,149,,Sold,,,http://www.redfin.com/CT/Danbury/18-Topfield-Rd-06811/home/106982488,Smart MLS,170180403,N,Y,41.4028862,-73.4832286
PAST SALE,January-11-2021,Single Family Residential,1968 Stratfield Rd,Fairfield,CT,06825,432000,3,1.5,Stratfield,1744,20037,1941,280,248,,Sold,,,http://www.redfin.com/CT/Fairfield/1968-Stratfield-Rd-06825/home/107132968,Smart MLS,170354455,N,Y,41.2059303,-73.2435236
PAST SALE,August-7-2019,Single Family Residential,6 Castaway Dr,Danbury,CT,06811,449500,4,2.5,Aunt Hack,3108,45738,1971,803,145,,Sold,,,http://www.redfin.com/CT/Danbury/6-Castaway-Dr-06811/home/106983858,Smart MLS,170192030,N,Y,41.4066311,-73.4949652
PAST SALE,July-24-2020,Single Family Residential,99 White Birch Rd,New Canaan,CT,06840,869000,4,3.0,New Canaan,2566,43995,1962,451,339,,Sold,,,http://www.redfin.com/CT/New-Canaan/99-White-Birch-Rd-06840/home/107234194,Smart MLS,170299816,N,Y,41.1182275,-73.4795004
PAST SALE,March-1-2021,Single Family Residential,19 Cross Hwy,Westport,CT,06880,795800,3,3.0,Westport,2437,14810,1959,231,327,,Sold,,,http://www.redfin.com/CT/Westport/19-Cross-Hwy-06880/home/107261954,Smart MLS,170347006,N,Y,41.155669,-73.3592414
PAST SALE,August-23-2019,Condo/Co-op,85 Camp Ave Unit 10E,Stamford,CT,06907,432500,2,1.5,Springdale,1625,,2007,787,266,203,Sold,,,http://www.redfin.com/CT/Stamford/85-Camp-Ave-06907/unit-10E/home/107111563,Smart MLS,170201476,N,Y,41.09371,-73.51571
PAST SALE,July-1-2021,Single Family Residential,83 Fan Hill Rd,Monroe,CT,06468,482500,4,3.0,Monroe Center,2700,100187,1966,109,179,,Sold,,,http://www.redfin.com/CT/Monroe/83-Fan-Hill-Rd-06468/home/107066521,Smart MLS,170388007,N,Y,41.3354163,-73.2107465
PAST SALE,,Condo/Co-op,15 Moorland Dr,Danbury,CT,06810,475000,2,2.5,,1760,,2017,,270,,,,,http://www.redfin.com/CT/Danbury/15-Moorland-Dr-06810/home/146965808,,,N,Y,41.3861775,-73.5235226
PAST SALE,May-29-2020,Single Family Residential,3 Pilgrim Ln,Monroe,CT,06468,509000,5,2.5,Monroe,3550,43560,1979,507,143,,Sold,,,http://www.redfin.com/CT/Monroe/3-Pilgrim-Ln-06468/home/107074195,Smart MLS,170253329,N,Y,41.3095613,-73.2360303
PAST SALE,March-8-2021,Condo/Co-op,95 Columbus Pl #4,Stamford,CT,06907,408000,3,3.0,Springdale,2400,,1982,224,170,325,Sold,,,http://www.redfin.com/CT/Stamford/95-Columbus-Pl-06907/unit-4/home/107118957,Smart MLS,170352402,N,Y,41.0992399,-73.5128766
PAST SALE,June-30-2021,Single Family Residential,185 Moffitt St,Bridgeport,CT,06606,310000,4,2.0,North End,1935,4791,1980,110,160,,Sold,,,http://www.redfin.com/CT/Bridgeport/185-Moffitt-St-06606/home/107065873,Smart MLS,170363930,N,Y,41.2124182,-73.1948714
PAST SALE,June-12-2020,Single Family Residential,14 Lavelle Ave,New Fairfield,CT,06812,290000,2,1.5,New Fairfield,1409,6534,1968,493,206,19,Sold,,,http://www.redfin.com/CT/New-Fairfield/14-Lavelle-Ave-06812/home/107230363,Smart MLS,170238478,N,Y,41.5246689,-73.4808457
PAST SALE,October-28-2019,Single Family Residential,58 Chambers Rd,Danbury,CT,06811,360000,4,2.5,King St.,2192,146797,1971,721,164,,Sold,,,http://www.redfin.com/CT/Danbury/58-Chambers-Rd-06811/home/106988224,Smart MLS,170213828,N,Y,41.4255468,-73.4920196
PAST SALE,March-1-2019,Single Family Residential,13 Deer Run Trl,Weston,CT,06883,636000,3,2.0,Lower Weston,3304,56628,1957,962,192,,Sold,,,http://www.redfin.com/CT/Weston/13-Deer-Run-Trl-06883/home/107009800,Smart MLS,170148305,N,Y,41.1973018,-73.3489038
PAST SALE,November-1-2019,Condo/Co-op,111 Ledgebrook Dr #111,Norwalk,CT,06854,279000,2,2.0,Norwalk,1662,,1972,717,168,480,Sold,,,http://www.redfin.com/CT/Norwalk/111-Ledgebrook-Dr-06854/unit-111/home/144519743,Smart MLS,170190856,N,Y,41.1090199,-73.437692
PAST SALE,April-26-2018,Single Family Residential,2 Lyndenwood Dr,Brookfield,CT,06804,499000,4,2.5,Brookfield,3309,40075,1990,1271,151,,Sold,,,http://www.redfin.com/CT/Brookfield/2-Lyndenwood-Dr-06804/home/107302937,Smart MLS,170055575,N,Y,41.4775259,-73.3679914
PAST SALE,November-13-2020,Condo/Co-op,54 Whitmore Ln #3,Stamford,CT,06902,283000,2,1.5,West Side,1326,,1980,339,213,175,Sold,,,http://www.redfin.com/CT/Stamford/54-Whitmore-Ln-06902/unit-3/home/107112295,Smart MLS,170336873,N,Y,41.0502834,-73.5655007
PAST SALE,January-20-2021,Condo/Co-op,2435 Bedford St Unit 4A,Stamford,CT,06905,475000,2,2.5,Mid City,1600,,1993,271,297,457,Sold,,,http://www.redfin.com/CT/Stamford/2435-Bedford-St-06905/unit-4A/home/107113350,Smart MLS,170338704,N,Y,41.0694383,-73.5442748
PAST SALE,August-6-2019,Single Family Residential,25 Pell Mell Dr,Bethel,CT,06801,435000,4,2.5,Plumtrees,2568,40946,1972,804,169,,Sold,,,http://www.redfin.com/CT/Bethel/25-Pell-Mell-Dr-06801/home/107282501,Smart MLS,170199409,N,Y,41.3837869,-73.38503
PAST SALE,January-16-2019,Condo/Co-op,231 Lansdowne #231,Westport,CT,06880,820000,2,3.0,Greens Farms,2450,,1985,1006,335,502,Sold,,,http://www.redfin.com/CT/Westport/231-Lansdowne-06880/unit-231/home/147980448,Smart MLS,170140677,N,Y,41.135372,-73.3050441
PAST SALE,November-20-2020,Single Family Residential,140 Club Rd,Stamford,CT,06905,650000,4,3.5,Stamford,3693,24829,1959,332,176,,Sold,,,http://www.redfin.com/CT/Stamford/140-Club-Rd-06905/home/107098062,Smart MLS,170271046,N,Y,41.0995167,-73.535624
PAST SALE,March-2-2021,Multi-Family (2-4 Unit),19 Emerson St,Norwalk,CT,06855,545000,4,2.0,East Norwalk,1913,6098,1924,230,285,,Sold,,,http://www.redfin.com/CT/Norwalk/19-Emerson-St-06855/home/107812682,Smart MLS,170352102,N,Y,41.1033494,-73.4005937
PAST SALE,September-24-2021,Single Family Residential,10 Hickory Hl,Shelton,CT,06484,535000,3,3.5,Huntington,3230,12632,1997,24,166,58,Sold,,,http://www.redfin.com/CT/Shelton/10-Hickory-Hl-06484/home/107179845,Smart MLS,170426100,N,Y,41.3076214,-73.1159895
PAST SALE,November-20-2018,Condo/Co-op,28 3rd St #54,Stamford,CT,06905,422500,2,2.0,Mid City,1316,,1998,1063,321,250,Sold,,,http://www.redfin.com/CT/Stamford/28-3rd-St-06905/unit-54/home/107104944,Smart MLS,170042114,N,Y,41.0647577,-73.5421037
PAST SALE,December-21-2020,Condo/Co-op,12 Willard Rd #7,Norwalk,CT,06851,430000,2,2.5,Norwalk,1710,,2014,301,251,331,Sold,,,http://www.redfin.com/CT/Norwalk/12-Willard-Rd-06851/unit-7/home/109817419,Smart MLS,170336782,N,Y,41.1288619,-73.3883994
PAST SALE,August-29-2018,Condo/Co-op,2207 Larson Dr #2207,Danbury,CT,06810,305000,2,2.5,Mill Plain,1650,,2001,1146,185,345,Sold,,,http://www.redfin.com/CT/Danbury/Larson-Dr-06810/unit-2207/home/146215801,Smart MLS,170104993,N,Y,41.386396,-73.512885
PAST SALE,May-7-2018,Condo/Co-op,60 Harbour View Pl #60,Stratford,CT,06615,356000,2,2.5,Stratford,2361,,1986,1260,151,485,Sold,,,http://www.redfin.com/CT/Stratford/60-Harbour-View-Pl-06615/unit-60/home/145199607,Smart MLS,170063899,N,Y,41.1816131,-73.1272565
PAST SALE,June-18-2021,Single Family Residential,43 Indian Field Rd,Greenwich,CT,06830,1237500,4,4.0,Greenwich,2688,10454,1985,122,460,,Sold,,,http://www.redfin.com/CT/Greenwich/43-Indian-Field-Rd-06830/home/107012498,Smart MLS,170388633,N,Y,41.0337142,-73.6051652
PAST SALE,,Single Family Residential,55 High Ridge Rd,Easton,CT,06612,530000,4,2.5,,3009,64033,1949,,176,,,,,http://www.redfin.com/CT/Easton/55-High-Ridge-Rd-06612/home/107615217,,,N,Y,41.2434835,-73.2610326
PAST SALE,January-11-2019,Single Family Residential,21 Danbury Ave,Westport,CT,06880,1300000,3,2.0,Compo Beach,1669,9583,1930,1011,779,,Sold,,,http://www.redfin.com/CT/Westport/21-Danbury-Ave-06880/home/107263091,Smart MLS,170128226,N,Y,41.1080142,-73.3508594
PAST SALE,June-29-2021,Condo/Co-op,127 Greyrock Pl #804,Stamford,CT,06901,294000,1,1.0,Stamford,789,,1987,111,373,499,Sold,,,http://www.redfin.com/CT/Stamford/127-Greyrock-Pl-06901/unit-804/home/107114675,Smart MLS,170388293,N,Y,41.0544738,-73.5357647
