SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,August-16-2021,Single Family Residential,208 Saddle Hill Rd,Manchester,CT,06040,350000,3,2.0,Keeney,1940,12196,1978,63,180,,Sold,,,http://www.redfin.com/CT/Manchester/208-Saddle-Hill-Rd-06040/home/53868762,Smart MLS,170412989,N,Y,41.7466259,-72.5518849
PAST SALE,February-28-2019,Single Family Residential,130 Holley Rd,Bristol,CT,06010,165500,3,2.5,Bristol,1236,15245,1973,963,134,,Sold,,,http://www.redfin.com/CT/Bristol/130-Holley-Rd-06010/home/54408412,Smart MLS,170146925,N,Y,41.6794787,-72.9242702
PAST SALE,July-26-2018,Single Family Residential,55 Fawn Dr,Plainville,CT,06062,365000,4,4.0,Plainville,2486,39204,1995,1180,147,,Sold,,,http://www.redfin.com/CT/Plainville/55-Fawn-Dr-06062/home/53798974,Smart MLS,170091162,N,Y,41.6919897,-72.8417579
PAST SALE,July-9-2021,Single Family Residential,93 Laurel St,Manchester,CT,06040,223000,3,1.5,Central,1248,8712,2004,101,179,,Sold,,,http://www.redfin.com/CT/Manchester/93-Laurel-St-06040/home/53866784,Smart MLS,170389004,N,Y,41.7715493,-72.5285936
PAST SALE,August-10-2021,Single Family Residential,5 Aspenwood,Avon,CT,06001,645000,5,3.5,West Avon,3667,40075,2013,69,176,,Sold,,,http://www.redfin.com/CT/AVON/5-ASPENWOOD-06001/home/136439690,Smart MLS,170412682,N,Y,41.791229,-72.849043
PAST SALE,September-25-2019,Condo/Co-op,268 Alewife Ln #268,Suffield,CT,06078,199000,2,2.5,Suffield,1932,,1985,754,103,324,Sold,,,http://www.redfin.com/CT/Suffield/268-Alewife-Ln-06078/unit-268/home/172907710,Smart MLS,170187064,N,Y,41.9939634,-72.6100663
PAST SALE,July-9-2021,Single Family Residential,81 Whiting Rd,East Hartford,CT,06118,215000,3,1.5,East Hartford,1462,8712,1900,101,147,,Sold,,,http://www.redfin.com/CT/East-Hartford/81-Whiting-Rd-06118/home/54335878,Smart MLS,170404505,N,Y,41.7570581,-72.6363142
PAST SALE,July-3-2018,Single Family Residential,67 Carson Way,South Windsor,CT,06074,363000,4,2.5,South Windsor,2166,22651,1994,1203,168,,Sold,,,http://www.redfin.com/CT/South-Windsor/67-Carson-Way-06074/home/54127960,Smart MLS,170082420,N,Y,41.8529964,-72.5172245
PAST SALE,June-14-2019,Single Family Residential,6 Haystack Ln,South Windsor,CT,06074,395000,4,2.5,South Windsor,2545,23958,1987,857,155,,Sold,,,http://www.redfin.com/CT/South-Windsor/6-Haystack-Ln-06074/home/54135093,Smart MLS,170174257,N,Y,41.8549168,-72.5402164
PAST SALE,September-23-2019,Single Family Residential,8 Cobblestone Rd,Farmington,CT,06085,454500,4,2.5,Unionville,3115,19602,1988,756,146,,Sold,,,http://www.redfin.com/CT/Unionville/8-Cobblestone-Rd-06085/home/54430765,Smart MLS,170218135,N,Y,41.745351,-72.8746312
