SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,September-2-2021,Single Family Residential,167 Birge Park Rd,Harwinton,CT,06791,360000,3,2.0,Harwinton,2750,217800,1981,46,131,,Sold,,,http://www.redfin.com/CT/Harwinton/167-Birge-Park-Rd-06791/home/107253956,Smart MLS,170412621,N,Y,41.7816835,-73.0691708
PAST SALE,June-14-2021,Single Family Residential,47 Woolson St,Watertown,CT,06795,200850,2,1.0,Taft School,1470,23522,1935,126,137,,Sold,,,http://www.redfin.com/CT/Watertown/47-Woolson-St-06795/home/107311973,Smart MLS,170383581,N,Y,41.6105549,-73.1209226
PAST SALE,April-30-2020,Single Family Residential,6 Cedar Vale Dr,New Milford,CT,06776,480000,4,2.5,New Milford,3716,70567,2004,536,129,,Sold,,,http://www.redfin.com/CT/New-Milford/6-Cedar-Vale-Dr-06776/home/107724711,Smart MLS,170237963,N,Y,41.5151401,-73.4069133
PAST SALE,September-30-2021,Single Family Residential,164 Pond View Dr,Watertown,CT,06795,456000,3,2.5,Pond View Estate,2150,15245,1998,18,212,,Sold,,,http://www.redfin.com/CT/Watertown/164-Pond-View-Dr-06795/home/107313629,Smart MLS,170429726,N,Y,41.5870942,-73.1081516
PAST SALE,October-29-2018,Single Family Residential,9 Birchwood Ln,Woodbury,CT,06798,550000,4,4.0,Woodbury,4011,121096,2005,1085,137,,Sold,,,http://www.redfin.com/CT/Woodbury/9-Birchwood-Ln-06798/home/107119719,Smart MLS,170105086,N,Y,41.5189942,-73.239054
PAST SALE,August-30-2017,Single Family Residential,101 Oakdale Ave,Winchester,CT,06098,159900,3,2.0,Winsted,1896,42253,1984,1510,84,,Sold,,,http://www.redfin.com/CT/Winsted/101-Oakdale-Ave-06098/home/107607237,Smart MLS,L10184929,N,Y,41.9187064,-73.0497745
PAST SALE,November-13-2017,Single Family Residential,146 Gilbert Ave,Winchester,CT,06098,126000,3,1.5,Winsted,1056,12196,1993,1435,119,,Sold,,,http://www.redfin.com/CT/Winsted/146-Gilbert-Ave-06098/home/107324069,Smart MLS,L10222311,N,Y,41.9240264,-73.0574442
PAST SALE,April-20-2017,Single Family Residential,194 Dugway Rd,Salisbury,CT,06068,475000,4,2.0,Salisbury,1788,126324,1820,1642,266,,Sold,,,http://www.redfin.com/CT/Falls-Village/194-Dugway-Rd-06031/home/107173478,Smart MLS,L10180923,N,Y,41.9531429,-73.3710817
PAST SALE,December-20-2017,Single Family Residential,32 Upper Kent Hollow Rd,Kent,CT,06757,520000,4,2.0,Kent,2040,1201384,1920,1398,255,,Sold,,,http://www.redfin.com/CT/Kent/32-Upper-Kent-Hollow-Rd-06757/home/109754214,Smart MLS,99186990,N,Y,41.7202154,-73.4055679
PAST SALE,July-24-2017,Condo/Co-op,111 Riverton Rd #13,Winchester,CT,06098,75000,2,1.5,Winsted,1204,,1987,1547,62,245,Sold,,,http://www.redfin.com/CT/Winsted/111-Riverton-Rd-06098/unit-13/home/107609241,Smart MLS,L10215518,N,Y,41.9481857,-73.0471458
