SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,July-13-2018,Single Family Residential,10 Portage Trl,East Hampton,CT,06424,335000,3,2.5,East Hampton,2374,64904,2001,1193,141,,Sold,,,http://www.redfin.com/CT/East-Hampton/10-Portage-Trl-06424/home/54354070,Smart MLS,170088637,N,Y,41.5779216,-72.475857
PAST SALE,February-27-2020,Single Family Residential,188 Cranberry Ln,Middletown,CT,06457,274900,4,2.5,Cranberry Estates,2164,15245,1995,599,127,2,Sold,,,http://www.redfin.com/CT/Middletown/188-Cranberry-Ln-06457/home/54071842,Smart MLS,170256328,N,Y,41.522277,-72.6555383
PAST SALE,April-22-2020,Condo/Co-op,128 Skyview Dr #128,Cromwell,CT,06416,168000,2,2.5,North Cromwell,1284,,1984,544,131,350,Sold,,,http://www.redfin.com/CT/Cromwell/128-Skyview-Dr-06416/unit-128/home/170319593,Smart MLS,170259866,N,Y,41.607369,-72.679705
PAST SALE,March-22-2021,Single Family Residential,5 Oakwood Ln,Clinton,CT,06413,185000,5,2.0,Clinton,1783,12632,1958,210,104,,Sold,,,http://www.redfin.com/CT/Clinton/5-Oakwood-Ln-06413/home/53955270,Smart MLS,170368142,N,Y,41.3040223,-72.5352583
PAST SALE,April-27-2018,Single Family Residential,29 Grove Rd,Cromwell,CT,06416,213000,2,1.0,Cromwell,946,10890,1950,1270,225,,Sold,,,http://www.redfin.com/CT/Cromwell/29-Grove-Rd-06416/home/53659762,Smart MLS,170057051,N,Y,41.6301499,-72.6557462
PAST SALE,August-15-2019,Single Family Residential,24 Great Hill Rd,Portland,CT,06480,363000,3,2.5,Portland,1972,98881,2003,795,184,,Sold,,,http://www.redfin.com/CT/Portland/24-Great-Hill-Rd-06480/home/54051051,Smart MLS,170197372,N,Y,41.5891009,-72.5691672
PAST SALE,June-4-2019,Single Family Residential,149 Dennison Rd,Westbrook,CT,06498,385000,5,3.0,Westbrook,2979,95832,1998,867,129,,Sold,,,http://www.redfin.com/CT/Westbrook/149-Dennison-Rd-06498/home/54386521,Smart MLS,170129368,N,Y,41.3262136,-72.4769201
PAST SALE,May-4-2018,Single Family Residential,23 Curry Ln,East Hampton,CT,06424,316900,4,2.5,East Hampton,2296,15245,2003,1263,138,,Sold,,,http://www.redfin.com/CT/East-Hampton/23-Curry-Ln-06424/home/54358737,Smart MLS,170063873,N,Y,41.5790681,-72.521384
PAST SALE,April-5-2019,Multi-Family (2-4 Unit),8 Skinner St,East Hampton,CT,06424,179000,3,3.0,East Hampton,1740,30491,1867,927,103,,Sold,,,http://www.redfin.com/CT/East-Hampton/8-Skinner-St-06424/home/54355460,Smart MLS,170129577,N,Y,41.572925,-72.5034052
PAST SALE,December-4-2019,Single Family Residential,5 Sears Pl,East Hampton,CT,06424,210000,3,1.0,Sears Park,1272,6534,1948,684,165,25,Sold,,,http://www.redfin.com/CT/East-Hampton/5-Sears-Pl-06424/home/54357059,Smart MLS,170224451,N,Y,41.5889806,-72.5070219
PAST SALE,August-20-2019,Vacant Land,117 Colchester Ave,East Hampton,CT,06424,45000,,,East Hampton,,371131,,790,,,Sold,,,http://www.redfin.com/CT/East-Hampton/117-Colchester-Ave-06424/home/109633416,Smart MLS,170203317,N,Y,41.5656924,-72.4734337
PAST SALE,August-13-2020,Single Family Residential,109 Young St,East Hampton,CT,06424,240000,3,2.0,East Hampton,2160,43995,1977,431,111,,Sold,,,http://www.redfin.com/CT/East-Hampton/109-Young-St-06424/home/54357416,Smart MLS,170308196,N,Y,41.5425676,-72.5040754
PAST SALE,July-30-2020,Single Family Residential,5 Nutmeg Ln,East Hampton,CT,06424,349000,4,2.5,Spice Hill,2838,19166,1990,445,123,7,Sold,,,http://www.redfin.com/CT/East-Hampton/5-Nutmeg-Ln-06424/home/54357961,Smart MLS,170304129,N,Y,41.5809911,-72.5213786
PAST SALE,September-1-2020,Single Family Residential,40 Walnut Ave,East Hampton,CT,06424,325000,4,2.0,East Hampton,2456,34412,1930,412,132,,Sold,,,http://www.redfin.com/CT/East-Hampton/40-Walnut-Ave-06424/home/54358426,Smart MLS,170308188,N,Y,41.5746233,-72.4947981
PAST SALE,,Vacant Land,45 Colchester Ave,East Hampton,CT,06424,425100,,,,,21780,,,,,,,,http://www.redfin.com/CT/East-Hampton/45-Colchester-Ave-06424/home/54356341,,,N,Y,41.5676001,-72.4881417
PAST SALE,December-31-2018,Single Family Residential,32 Quiet Woods Rd,East Hampton,CT,06424,322500,3,2.5,East Hampton,2197,36154,2003,1022,147,,Sold,,,http://www.redfin.com/CT/East-Hampton/32-Quiet-Woods-Rd-06424/home/54356668,Smart MLS,170145904,N,Y,41.5415771,-72.5087117
PAST SALE,May-31-2017,Single Family Residential,54 Schnoor Rd,Killingworth,CT,06419,465000,4,3.0,Killingworth,3349,431244,1985,1601,139,,Sold,,,http://www.redfin.com/CT/Killingworth/54-Schnoor-Rd-06419/home/54368130,Smart MLS,N10196933,N,Y,41.3936498,-72.5783199
PAST SALE,June-15-2020,Single Family Residential,23 Daniel St,East Hampton,CT,06424,210000,3,1.5,East Hampton,1250,43560,1965,490,168,,Sold,,,http://www.redfin.com/CT/East-Hampton/23-Daniel-St-06424/home/54356376,Smart MLS,170198267,N,Y,41.5542881,-72.5102613
PAST SALE,October-29-2020,Vacant Land,21 Ridgeview Dr,East Hampton,CT,06424,47500,,,East Hampton,,97138,,354,,,Sold,,,http://www.redfin.com/CT/East-Hampton/21-Ridgeview-Dr-06424/home/54358762,Smart MLS,170285428,N,Y,41.6120846,-72.499985
PAST SALE,July-31-2020,Single Family Residential,4 Evergreen Rd,Haddam,CT,06441,465000,4,2.5,Higganum,3502,222155,2012,444,133,,Sold,,,http://www.redfin.com/CT/Haddam/Evergreen-Rd-06441/home/145543983,Smart MLS,170265698,N,Y,41.437552,-72.554456
PAST SALE,May-25-2017,Single Family Residential,552 & 558 N Roast Meat Hill Rd,Killingworth,CT,06419,940000,3,2.0,Killingworth,3228,1131688,1985,1607,291,,Sold,,,http://www.redfin.com/CT/Killingworth/558-N-Roast-Meat-Hill-Rd-06419/home/54368760,Smart MLS,G10189372,N,Y,41.3993891,-72.5463602
PAST SALE,July-13-2018,Single Family Residential,20 Lakeview Rd,Haddam,CT,06441,228000,3,2.0,Higganum,1344,16117,1970,1193,170,38,Sold,,,http://www.redfin.com/CT/Higganum/20-Lakeview-Rd-06441/home/53705142,Smart MLS,170074125,N,Y,41.4217844,-72.5729101
PAST SALE,October-29-2018,Single Family Residential,150 Nod Rd,Clinton,CT,06413,78000,2,1.0,Clinton,891,35719,1957,1085,88,,Sold,,,http://www.redfin.com/CT/Clinton/150-Nod-Rd-06413/home/53958583,Smart MLS,170089821,N,Y,41.2892141,-72.5588165
PAST SALE,,Other,3 Buckingham Ave Unit 11,Old Saybrook,CT,06475,10000,,,,,,,,,,,,,http://www.redfin.com/CT/Old-Saybrook/3-Buckingham-Ave-06475/unit-11/home/54417566,,,N,Y,41.2763115,-72.3942221
PAST SALE,,Vacant Land,72 N Cove Rd,Old Saybrook,CT,06475,400000,,,,,22216,,,,,,,,http://www.redfin.com/CT/Old-Saybrook/72-N-Cove-Rd-06475/home/54420482,,,N,Y,41.286209,-72.360834
PAST SALE,,Vacant Land,1241 Boston Post Rd,Old Saybrook,CT,06475,212500,,,,,174240,,,,,,,,http://www.redfin.com/CT/Old-Saybrook/1241-Boston-Post-Rd-06475/home/54420841,,,N,Y,41.288412,-72.401172
PAST SALE,,Vacant Land,5 Clapboard Hill Rd,Old Saybrook,CT,06475,125000,,,,,46609,,,,,,,,http://www.redfin.com/CT/Old-Saybrook/5-Clapboard-Hill-Rd-06475/home/54421459,,,N,Y,41.307184,-72.414936
PAST SALE,,Other,250 Elm St,Old Saybrook,CT,06475,410000,,,,,30492,,,,,,,,http://www.redfin.com/CT/Old-Saybrook/250-Elm-St-06475/home/54421655,,,N,Y,41.2991096,-72.3943512
