SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,December-4-2020,Single Family Residential,20 Acorn Ln,Milford,CT,06461,499000,4,3.5,Lexington Green,3402,7840,1998,318,147,125,Sold,,,http://www.redfin.com/CT/Milford/20-Acorn-Ln-06461/home/53920363,Smart MLS,170347005,N,Y,41.240231,-73.0906308
PAST SALE,January-15-2021,Single Family Residential,196 Oak Hill Dr,Southbury,CT,06488,435000,4,3.0,Southbury,2448,90604,1986,276,178,,Sold,,,http://www.redfin.com/CT/Southbury/196-Oakhill-Dr-06488/home/54255823,Smart MLS,170355758,N,Y,41.4664669,-73.1983626
PAST SALE,August-21-2020,Condo/Co-op,44 Quarry Dock Rd #44,Branford,CT,06405,575000,3,3.5,Indian Neck,2378,,1988,423,242,481,Sold,,,http://www.redfin.com/CT/Branford/44-Quarry-Dock-Rd-06405/unit-44/home/171434851,Smart MLS,170290570,N,Y,41.2678322,-72.8175587
PAST SALE,November-20-2019,Single Family Residential,9 Sheasby Rd,Ansonia,CT,06401,249000,3,2.0,Hilltop,1136,17859,1971,698,219,,Sold,,,http://www.redfin.com/CT/Ansonia/9-Sheasby-Rd-06401/home/54439232,Smart MLS,170240230,N,Y,41.3318628,-73.047378
PAST SALE,September-15-2021,Single Family Residential,95 Highwoods Dr,Guilford,CT,06437,359900,3,2.5,Guilford,2736,40075,1967,33,132,,Sold,,,http://www.redfin.com/CT/Guilford/95-Highwoods-Dr-06437/home/53893187,Smart MLS,170412687,N,Y,41.3153594,-72.7043358
PAST SALE,August-13-2018,Single Family Residential,21 Crown St,Milford,CT,06460,469000,4,2.5,Ft. Trumbull Beach,2033,4791,1910,1162,231,,Sold,,,http://www.redfin.com/CT/Milford/21-Crown-St-06460/home/53913569,Smart MLS,170063824,N,Y,41.2097586,-73.0556462
PAST SALE,May-25-2021,Single Family Residential,124 Twin Brook Rd,Hamden,CT,06514,290000,4,2.0,Hamden,1546,8712,1955,146,188,,Sold,,,http://www.redfin.com/CT/Hamden/124-Twin-Brook-Rd-06514/home/54228917,Smart MLS,170377566,N,Y,41.3524877,-72.9508318
PAST SALE,September-30-2019,Single Family Residential,16 Sabrina Dr,Bethany,CT,06524,315000,4,2.5,Bethany,2000,365468,1994,749,158,,Sold,,,http://www.redfin.com/CT/Bethany/16-Sabrina-Dr-06524/home/54412721,Smart MLS,170200174,N,Y,41.4567981,-72.9694919
PAST SALE,May-10-2021,Single Family Residential,933 Farmington Dr,Cheshire,CT,06410,292000,3,2.5,Cheshire,1196,20908,1957,161,244,,Sold,,,http://www.redfin.com/CT/Cheshire/933-Farmington-Dr-06410/home/53757446,Smart MLS,170376156,N,Y,41.4802389,-72.9199643
PAST SALE,November-4-2020,Single Family Residential,99 Brookfield Rd,Seymour,CT,06483,450000,4,2.5,Seymour,4003,35719,2003,348,112,17,Sold,,,http://www.redfin.com/CT/Seymour/99-Brookfield-Rd-06483/home/54106691,Smart MLS,170332551,N,Y,41.3713964,-73.1070682
PAST SALE,August-22-2019,Multi-Family (2-4 Unit),81 Maple St,Seymour,CT,06483,259000,0,,Seymour,2574,13068,1900,788,101,,Sold,,,http://www.redfin.com/CT/Seymour/81-Maple-St-06483/home/54104046,Smart MLS,170210801,N,Y,41.3851629,-73.0685471
PAST SALE,August-14-2020,Condo/Co-op,146 Everit St Unit B,New Haven,CT,06511,235000,2,1.0,East Rock,1063,,1920,430,221,354,Sold,,,http://www.redfin.com/CT/New-Haven/146-Everit-St-06511/unit-B/home/54285523,Smart MLS,170304362,N,Y,41.3282079,-72.913374
PAST SALE,July-26-2021,Single Family Residential,655 Carrington Rd,Bethany,CT,06524,488000,4,2.5,Bethany,3288,124146,2006,84,148,,Sold,,,http://www.redfin.com/CT/Bethany/655-Carrington-Rd-06524/home/54412854,Smart MLS,170400157,N,Y,41.4510196,-72.9686948
PAST SALE,September-16-2021,Single Family Residential,3 Brookvale Rd,North Haven,CT,06473,368000,4,3.0,North Haven,1751,14374,1949,32,210,,Sold,,,http://www.redfin.com/CT/North-Haven/3-Brookvale-Rd-06473/home/53992369,Smart MLS,170410756,N,Y,41.3626416,-72.848772
PAST SALE,September-24-2019,Condo/Co-op,3 Self Ct #3,Wallingford,CT,06492,377000,4,3.5,Wallingford,2548,,2004,755,148,119,Sold,,,http://www.redfin.com/CT/Wallingford/3-Self-Ct-06492/unit-3/home/144529128,Smart MLS,170164223,N,Y,41.4719255,-72.7881135
PAST SALE,December-27-2019,Single Family Residential,36 Earley Ct,Bethany,CT,06524,735000,4,4.5,Bethany,4065,72309,2006,661,181,,Sold,,,http://www.redfin.com/CT/Bethany/36-Earley-Ct-06524/home/54412079,Smart MLS,170180069,N,Y,41.3940462,-73.03232
PAST SALE,May-20-2019,Single Family Residential,106 Dawson Ave,West Haven,CT,06516,222000,3,1.5,West Haven,1464,3049,1920,882,152,,Sold,,,http://www.redfin.com/CT/West-Haven/106-Dawson-Ave-06516/home/54078158,Smart MLS,170115445,N,Y,41.2489009,-72.9679018
PAST SALE,August-27-2021,Single Family Residential,131 Richards St,West Haven,CT,06516,247000,3,2.5,West Haven,1587,5662,1910,52,156,,Sold,,,http://www.redfin.com/CT/West-Haven/131-Richards-St-06516/home/54085665,Smart MLS,170415941,N,Y,41.2809996,-72.9530925
PAST SALE,November-9-2020,Single Family Residential,8 Martin Ter,Ansonia,CT,06401,245000,3,1.5,Ansonia,1145,16117,1971,343,214,,Sold,,,http://www.redfin.com/CT/Ansonia/8-Martin-Ter-06401/home/54439076,Smart MLS,170344067,N,Y,41.3342481,-73.0553085
PAST SALE,July-7-2020,Single Family Residential,8 Jefferson Ln #8,Southbury,CT,06488,375000,4,2.5,Southbury,2153,,2005,468,174,220,Sold,,,http://www.redfin.com/CT/Southbury/8-Jefferson-Ln-06488/unit-8/home/170958471,Smart MLS,170273585,N,Y,41.4816341,-73.2506312
PAST SALE,October-4-2019,Single Family Residential,637 Circular Ave,Hamden,CT,06514,229000,3,1.5,Hamden,1243,6534,1946,745,184,,Sold,,,http://www.redfin.com/CT/Hamden/637-Circular-Ave-06514/home/54219876,Smart MLS,170220846,N,Y,41.3633995,-72.9368174
