SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,June-17-2020,Single Family Residential,517 Taylor Hill Rd,Griswold,CT,06351,289000,3,1.5,Griswold,1823,283140,1969,488,159,,Sold,,,http://www.redfin.com/CT/Griswold/517-Taylor-Hill-Rd-06351/home/53858107,Smart MLS,170299239,N,Y,41.5955165,-71.9604015
PAST SALE,March-23-2020,Single Family Residential,39 Hynes Ave,Groton,CT,06340,182900,3,1.5,Groton City,992,9583,1954,574,184,,Sold,,,http://www.redfin.com/CT/Groton/39-Hynes-Ave-06340/home/54183059,Smart MLS,170265375,N,Y,41.3392568,-72.0731802
PAST SALE,December-11-2020,Single Family Residential,167 Old Jewett City Rd,Preston,CT,06365,322000,3,2.5,Preston,2000,87120,1949,311,161,,Sold,,,http://www.redfin.com/CT/Preston/167-Old-Jewett-City-Rd-06365/home/54045833,Smart MLS,170341915,N,Y,41.547952,-72.0065291
PAST SALE,September-5-2019,Single Family Residential,48 Beechwood Ter,Griswold,CT,06351,265000,3,2.0,Jewett City,1440,105850,1991,774,184,,Sold,,,http://www.redfin.com/CT/Griswold/48-Beechwood-Ter-06351/home/53857730,Smart MLS,170206710,N,Y,41.530439,-71.9046691
PAST SALE,July-3-2020,Single Family Residential,15 Grove Ave,Groton,CT,06340,226000,3,1.0,Groton,1218,9583,2002,472,186,,Sold,,,http://www.redfin.com/CT/Groton/15-Grove-Ave-06340/home/54175433,Smart MLS,170297092,N,Y,41.3670801,-72.0815125
PAST SALE,February-14-2020,Single Family Residential,20 David Dr,Montville,CT,06370,399948,3,2.5,Oakdale,2640,91476,2019,612,151,,Sold,,,http://www.redfin.com/CT/Oakdale/20-David-Dr-06370/home/54021238,Smart MLS,170180100,N,Y,41.4770414,-72.1886869
PAST SALE,March-29-2021,Condo/Co-op,61 S Main St #303,Griswold,CT,06351,177450,2,2.5,Griswold,1510,,2006,203,118,200,Sold,,,http://www.redfin.com/CT/Griswold/61-S-Main-St-06351/unit-303/home/53855010,Smart MLS,170371431,N,Y,41.6037133,-71.9871949
PAST SALE,September-15-2021,Single Family Residential,4 Catbird Ln,East Lyme,CT,06333,536000,5,2.5,East Lyme,2773,45302,2000,33,193,,Sold,,,http://www.redfin.com/CT/East-Lyme/4-Catbird-Ln-06333/home/54382164,Smart MLS,170421350,N,Y,41.3787618,-72.2059121
PAST SALE,July-15-2021,Vacant Land,9 School House Rd,Stonington,CT,06355,435000,,,Masons Island,,22651,,95,,4,Sold,,,http://www.redfin.com/CT/Mystic/9-School-House-Rd-06355/home/53846501,Smart MLS,170308263,N,Y,41.33581,-71.966132
PAST SALE,May-28-2021,Vacant Land,45 Benton Hill Rd,Griswold,CT,06351,34000,,,Griswold,,239580,,143,,,Sold,,,http://www.redfin.com/CT/Griswold/45-Benton-Hill-Rd-06351/home/53855500,Smart MLS,E10196130,N,Y,41.530906,-71.9127256
PAST SALE,August-5-2021,Vacant Land,193 Anna Farm Rd E,North Stonington,CT,06359,70000,,,North Stonington,,252648,,74,,,Sold,,,http://www.redfin.com/CT/North-Stonington/193-Anna-Farm-Rd-E-06359/home/53715379,Smart MLS,170310197,N,Y,41.5101472,-71.9435263
PAST SALE,,Vacant Land,299 CT-165,Preston,CT,06365,40000,,,,,217800,,,,,,,,http://www.redfin.com/CT/Preston/299-CT-165-06365/home/54045715,,,N,Y,41.5312355,-71.9946722
PAST SALE,June-4-2021,Vacant Land,74 Homestead Rd,Ledyard,CT,06339,80000,,,Lantern Hill,,130680,,136,,,Sold,,,http://www.redfin.com/CT/Ledyard/74-Homestead-Rd-06339/home/54196770,Smart MLS,170352272,N,Y,41.4466257,-71.9518935
PAST SALE,November-13-2020,Vacant Land,120 Lambtown Rd,Ledyard,CT,06339,50000,,,Ledyard,,71874,,339,,,Sold,,,http://www.redfin.com/CT/Ledyard/120-Lambtown-Rd-06339/home/54199249,Smart MLS,170126913,N,Y,41.4089211,-72.0014768
PAST SALE,March-10-2021,Vacant Land,438 N W Corner Rd,North Stonington,CT,06359,55000,,,Northwest Corner,,220849,,222,,,Sold,,,http://www.redfin.com/CT/North-Stonington/438-NW-Corner-Rd-06359/home/53713296,Smart MLS,170341134,N,Y,41.5185665,-71.9603543
PAST SALE,May-12-2021,Vacant Land,11 School House Rd,Stonington,CT,06355,450000,,,Masons Island,,31363,,159,,8,Sold,,,http://www.redfin.com/CT/Mystic/11-School-House-Rd-06355/home/53850831,Smart MLS,170349266,N,Y,41.3359711,-71.968687
PAST SALE,April-25-2018,Vacant Land,0 Elm St,Stonington,CT,06378,129900,,,Stonington Borough,,25700,,1272,,,Sold,,,http://www.redfin.com/CT/Stonington/Elm-St-06378/home/144511563,Smart MLS,170024064,N,Y,41.335483,-71.905727
PAST SALE,August-19-2020,Vacant Land,7 Egret Rd,Stonington,CT,06355,320000,,,Masons Island,,30491,,425,,25,Sold,,,http://www.redfin.com/CT/MYSTIC/7-EGRET-RD-06355/home/53850797,Smart MLS,170288320,N,Y,41.338684,-71.965955
PAST SALE,,Vacant Land,429 Norwich-Westerly Rd,North Stonington,CT,06359,55000,,,,,72310,,,,,,,,http://www.redfin.com/CT/North-Stonington/429-Norwich-Westerly-Rd-06359/home/53713961,,,N,Y,41.45093,-71.9027836
PAST SALE,May-19-2021,Vacant Land,28 Imogen Dr,Groton,CT,06355,96000,,,Mystic,,20037,,152,,,Sold,,,http://www.redfin.com/CT/Groton/28-Imogen-Dr-06340/home/167026390,Smart MLS,170203230,N,Y,41.3925692,-71.9899445
PAST SALE,August-31-2021,Vacant Land,56 Cossaduck Hill Rd,North Stonington,CT,06359,140000,,,North Stonington,,108751,,48,,,Sold,,,http://www.redfin.com/CT/North-Stonington/56-Cossaduck-Hill-Rd-06359/home/53713412,Smart MLS,170381983,N,Y,41.4687039,-71.9018517
PAST SALE,,Vacant Land,HEWITT RD,MYSTIC,CT,06355,148600,,,,,21344,,,,,,,,http://www.redfin.com/CT/MYSTIC/HEWITT-RD-06355/home/170219105,,,N,Y,41.347882,-71.955316
PAST SALE,,Vacant Land,419 Roode Rd,Griswold,CT,06351,320000,,,,,194713,,,,,,,,http://www.redfin.com/CT/Griswold/419-Roode-Rd-06351/home/171515996,,,N,Y,41.6220408,-71.9203167
PAST SALE,July-15-2021,Vacant Land,81 Saint John Rd,Griswold,CT,06351,54000,,,Griswold,,80150,,95,,,Sold,,,http://www.redfin.com/CT/Griswold/81-St-John-Rd-06351/home/53855270,Smart MLS,170414634,N,Y,41.6007483,-71.9681729
PAST SALE,April-19-2021,Vacant Land,105 Lewis Rd,Preston,CT,06365,81500,,,Preston,,472626,,182,,,Sold,,,http://www.redfin.com/CT/Preston/105-Lewis-Rd-06365/home/54045283,Smart MLS,170181013,N,Y,41.5461648,-71.9431043
PAST SALE,March-5-2021,Vacant Land,114 Lewis Rd,Preston,CT,06365,110000,,,Preston,,488307,,227,,,Sold,,,http://www.redfin.com/CT/Preston/114-Lewis-Rd-06365/home/54045292,Smart MLS,170358325,N,Y,41.5473823,-71.9410458
PAST SALE,March-16-2021,Vacant Land,26 Barber Farm Rd,Lisbon,CT,06351,85000,,,Barber Farm,,73180,,216,,,Sold,,,http://www.redfin.com/CT/Lisbon/26-Barber-Farm-Rd-06351/home/54194970,Smart MLS,170283683,N,Y,41.577427,-72.005367
PAST SALE,July-16-2021,Vacant Land,42 Barber Farm Rd,Lisbon,CT,06351,104000,,,Barber Farm,,41382,,94,,,Sold,,,http://www.redfin.com/CT/Lisbon/42-Barber-Farm-Rd-06351/home/54194971,Smart MLS,170284030,N,Y,41.575447,-72.003794
PAST SALE,March-8-2021,Vacant Land,17 Barber Farm Rd,Lisbon,CT,06351,90000,,,Barber Farm,,63162,,224,,,Sold,,,http://www.redfin.com/CT/Lisbon/17-Barber-Farm-Rd-06351/home/54194981,Smart MLS,170284226,N,Y,41.578457,-72.003671
PAST SALE,August-19-2021,Vacant Land,86 Brown Rd,Voluntown,CT,06384,123000,,,Voluntown,,1201820,,60,,,Sold,,,http://www.redfin.com/CT/Voluntown/86-Brown-Rd-06384/home/174795925,Smart MLS,170384763,N,Y,41.6117659,-71.836825
PAST SALE,May-28-2021,Vacant Land,230 Iron St,Ledyard,CT,06339,888,,,Long Pond,,253519,,143,,,Sold,,,http://www.redfin.com/CT/Ledyard/230-Iron-St-06339/home/109601148,Smart MLS,170380995,N,Y,41.4475085,-71.9773818
PAST SALE,,Vacant Land,SUNRISE AVE,STONINGTON,CT,06378,10000,,,,,6970,,,,,,,,http://www.redfin.com/CT/STONINGTON/SUNRISE-AVE-06378/home/53850367,,,N,Y,41.342646,-71.840857
