SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,April-1-2021,Single Family Residential,18 Meadowlark Rd,Vernon,CT,06066,260000,3,1.5,Hartford Turnpike,1624,30056,1970,200,160,,Sold,,,http://www.redfin.com/CT/Vernon/18-Meadowlark-Rd-06066/home/54345218,Smart MLS,170372427,N,Y,41.8454446,-72.4565808
PAST SALE,May-17-2019,Vacant Land,95 Hartford Tpke,Tolland,CT,06084,349900,,,Tolland,,458251,,885,,,Sold,,,http://www.redfin.com/CT/Tolland/95-Hartford-Tpke-06084/home/148397780,Smart MLS,170147385,N,Y,41.8667611,-72.413336
PAST SALE,,Other,MANSFIELD CITY RD,MANSFIELD,CT,06250,1000000,,,,,8319960,,,,,,,,http://www.redfin.com/CT/MANSFIELD/MANSFIELD-CITY-RD-06250/home/168277883,,,N,Y,41.781675,-72.264061
PAST SALE,,Vacant Land,NORTHAM RD Unit 27B,HEBRON,CT,06248,390000,,,,,14810,,,,,,,,http://www.redfin.com/CT/HEBRON/NORTHAM-RD-06248/unit-27B/home/54029408,,,N,Y,41.623814,-72.366063
PAST SALE,December-14-2018,Vacant Land,310 Old Colchester Rd,Hebron,CT,06231,390000,,,Amston,,3569306,,1039,,,Sold,,,http://www.redfin.com/CT/Amston/310-Old-Colchester-Rd-06231/home/144518934,Smart MLS,170020807,N,Y,41.6212277,-72.3643392
PAST SALE,November-9-2017,Single Family Residential,5 Homestead Dr,Mansfield,CT,06268,310000,4,2.5,Storrs,2443,45738,2003,1439,127,,Sold,,,http://www.redfin.com/CT/Storrs/5-Homestead-Dr-06268/home/53786010,Smart MLS,170002681,N,Y,41.8326613,-72.3011652
PAST SALE,April-20-2017,Single Family Residential,20 Pond View Rd,Bolton,CT,06043,442000,4,3.5,Bolton,3657,40075,1988,1642,121,,Sold,,,http://www.redfin.com/CT/Bolton/20-Pond-View-Rd-06043/home/53985347,Smart MLS,G10200286,N,Y,41.7408088,-72.4534142
PAST SALE,December-18-2017,Vacant Land,77 Morgan Ln,Tolland,CT,06084,93500,,,Tolland,,51836,,1400,,,Sold,,,http://www.redfin.com/CT/Tolland/77-Morgan-Ln-06084/home/54108080,Smart MLS,G629117,N,Y,41.896132,-72.356684
PAST SALE,June-29-2017,Single Family Residential,46 Snipsic Lake Rd,Ellington,CT,06029,220000,4,2.0,Ellington,1792,43124,1956,1572,123,,Sold,,,http://www.redfin.com/CT/Ellington/46-Snipsic-Lake-Rd-06029/home/54250644,Smart MLS,G10209603,N,Y,41.8943362,-72.4418045
PAST SALE,June-5-2017,Condo/Co-op,85 Old Town Rd #31,Vernon,CT,06066,30100,1,1.0,Vernon,906,,1974,1596,33,259,Sold,,,http://www.redfin.com/CT/Vernon/85-Old-Town-Rd-06066/unit-31/home/54341267,Smart MLS,G10207453,N,Y,41.8632786,-72.4784404
