SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,August-3-2021,Single Family Residential,11 Big Horn Ln,Woodstock,CT,06282,677000,3,3.5,Woodstock Valley,2336,13068,1987,76,290,,Sold,,,http://www.redfin.com/CT/Woodstock-Valley/11-Big-Horn-Ln-06282/home/53655616,Smart MLS,170407056,N,Y,41.955698,-72.06336
PAST SALE,April-17-2020,Single Family Residential,26 Peterson Rd,Pomfret,CT,06259,339500,3,2.0,Pomfret Center,1949,87991,1989,549,174,,Sold,,,http://www.redfin.com/CT/Pomfret-Center/26-Peterson-Rd-06259/home/54263051,Smart MLS,170265494,N,Y,41.894762,-71.992202
PAST SALE,,Multi-Family (2-4 Unit),8 -10 Karin Dr,Plainfield,CT,06374,,,,,,,,,,,Sold,,,http://www.redfin.com/CT/Plainfield/8-Community-Ave-06374/home/175473222,Smart MLS,,N,Y,41.6776472,-71.9184343
PAST SALE,October-12-2018,Single Family Residential,110 Woodside St,Putnam,CT,06260,188000,3,2.0,Putnam,1500,8712,1942,1102,125,,Sold,,,http://www.redfin.com/CT/Putnam/110-Woodside-St-06260/home/54414754,Smart MLS,170122056,N,Y,41.9278962,-71.915426
PAST SALE,February-19-2019,Single Family Residential,68 Viens St,Putnam,CT,06260,162100,2,1.0,Putnam,1360,10890,1973,972,119,,Sold,,,http://www.redfin.com/CT/Putnam/68-Viens-St-06260/home/54414848,Smart MLS,170147076,N,Y,41.9298542,-71.9115355
PAST SALE,,Single Family Residential,67 Van Den Noort St,Putnam,CT,06260,125000,3,1.0,,1109,1307,1947,,113,,,,,http://www.redfin.com/CT/Putnam/67-Van-Den-Noort-St-06260/home/54415289,,,N,Y,41.923676,-71.9104702
PAST SALE,July-18-2018,Condo/Co-op,13 Westside Dr #91,Thompson,CT,06255,155000,2,1.5,North Grosvenordale,1288,,1989,1188,120,245,Sold,,,http://www.redfin.com/CT/North-Grosvenor-Dale/13-Westside-Dr-06255/unit-91/home/54348248,Smart MLS,170081145,N,Y,41.9590407,-71.8816761
PAST SALE,December-5-2018,Single Family Residential,48 S Prospect St,Putnam,CT,06260,151000,2,1.0,Putnam,1040,21780,1967,1048,145,,Sold,,,http://www.redfin.com/CT/Putnam/48-S-Prospect-St-06260/home/54415688,MLS PIN,72407510,N,Y,41.920637,-71.9160281
PAST SALE,July-2-2018,Single Family Residential,91 Underwood Rd,Putnam,CT,06260,203000,4,1.5,Putnam,1428,34412,1955,1204,142,,Sold,,,http://www.redfin.com/CT/Putnam/91-Underwood-Rd-06260/home/54415762,MLS PIN,72320152,N,Y,41.9164867,-71.9244573
PAST SALE,,Single Family Residential,35 Hurlbut St,Putnam,CT,06260,134000,2,1.0,,1716,64469,1959,,78,,,,,http://www.redfin.com/CT/Putnam/35-Hurlbut-St-06260/home/54416105,,,N,Y,41.9270563,-71.9190385
PAST SALE,August-29-2018,Single Family Residential,9 Gary School Rd,Putnam,CT,06260,234000,3,2.0,Putnam,1548,91911,1992,1146,151,,Sold,,,http://www.redfin.com/CT/Putnam/9-Gary-School-Rd-06260/home/54417316,MLS PIN,72354449,N,Y,41.9006344,-71.9264951
PAST SALE,November-1-2018,Single Family Residential,14 Laurel St,Putnam,CT,06260,49519,4,2.0,Putnam,1768,5227,1877,1082,28,,Sold,,,http://www.redfin.com/CT/Putnam/14-Laurel-St-06260/home/54416152,Smart MLS,170041773,N,Y,41.9202307,-71.9123692
PAST SALE,,Single Family Residential,455 Brayman Hollow Rd,Pomfret Center,CT,06259,175000,1,1.0,,704,10454,1960,,249,,,,,http://www.redfin.com/CT/Pomfret-Center/455-Brayman-Hollow-Rd-06259/home/54262757,,,N,Y,41.8991907,-72.0160056
PAST SALE,November-10-2017,Single Family Residential,25 Babbitt Hill Rd,Pomfret,CT,06259,675000,5,3.5,Pomfret,4769,2548260,1749,1438,142,,Sold,,,http://www.redfin.com/CT/Pomfret-Center/25-Babbitt-Hill-Rd-06259/home/54263452,Smart MLS,G10077590,N,Y,41.8731274,-71.9793159
PAST SALE,February-15-2017,Vacant Land,310 Valley Rd,Killingly,CT,06239,39000,,,East Killingly,672,784080,,1706,58,,Sold,,,http://www.redfin.com/CT/Danielson/310-Valley-Rd-06239/home/53746921,Smart MLS,E10164511,N,Y,41.836684,-71.845761
PAST SALE,July-23-2019,Multi-Family (2-4 Unit),216-218 Church St,Putnam,CT,06260,165000,5,3.0,Putnam,1949,7840,1885,818,85,,Sold,,,http://www.redfin.com/CT/Putnam/216-Church-St-06260/home/54415920,MLS PIN,72484364,N,Y,41.9217766,-71.9100997
PAST SALE,June-29-2018,Single Family Residential,42 Loyola Rd,Woodstock,CT,06281,375000,3,3.5,Woodstock,2680,20037,2008,1207,140,,Sold,,,http://www.redfin.com/CT/Woodstock/42-Loyola-Rd-06281/home/52272961,Smart MLS,170069894,N,Y,41.9228902,-71.9808558
PAST SALE,January-22-2020,Single Family Residential,215 River Rd,Putnam,CT,06260,230000,2,1.5,Putnam,1454,174240,1978,635,158,,Sold,,,http://www.redfin.com/CT/Putnam/215-River-Rd-06260/home/54417231,Smart MLS,170241321,N,Y,41.8910041,-71.9143607
PAST SALE,March-2-2018,Condo/Co-op,297 Sabin St #31,Putnam,CT,06260,281700,2,2.0,Putnam,1500,,2017,1326,188,165,Sold,,,http://www.redfin.com/CT/Putnam/297-Sabin-St-06260/unit-31/home/54414870,Smart MLS,170000775,N,Y,41.920847,-71.923562
PAST SALE,August-18-2017,Multi-Family (5+ Unit),256 Providence St,Putnam,CT,06260,229900,14,5.0,Putnam,4883,8712,1880,1522,47,,Sold,,,http://www.redfin.com/CT/Putnam/256-Providence-St-06260/home/54415336,Smart MLS,G10227480,N,Y,41.9240146,-71.9130176
PAST SALE,April-27-2018,Single Family Residential,128 Indian Spring Rd,Woodstock,CT,06281,255000,3,1.0,Woodstock,792,17424,1976,1270,322,,Sold,,,http://www.redfin.com/CT/Woodstock/128-Indian-Spring-Rd-06281/home/52328558,Smart MLS,170055293,N,Y,41.951177,-72.070004
PAST SALE,April-30-2019,Single Family Residential,688 Route 198,Woodstock,CT,06282,179000,3,1.0,Woodstock Valley,1008,65340,1824,902,178,,Sold,,,http://www.redfin.com/CT/Woodstock/688-CT-198-06281/home/53654711,Smart MLS,170171167,N,Y,41.9571279,-72.080264
PAST SALE,January-16-2019,Single Family Residential,61 Hemlock Dr,Woodstock,CT,06281,269900,3,2.0,Woodstock,1500,13068,2018,1006,180,,Sold,,,http://www.redfin.com/CT/Woodstock/61-Hemlock-DR-06281/home/145128376,Smart MLS,170061246,N,Y,41.953771,-72.062739
PAST SALE,June-8-2018,Single Family Residential,11 Walnut Rd,Woodstock,CT,06281,75000,3,1.5,Woodstock Valley,672,8712,1974,1228,112,9999,Sold,,,http://www.redfin.com/CT/Woodstock/11-Walnut-Rd-06281/home/53652973,Smart MLS,170060575,N,Y,41.9593382,-72.0691066
PAST SALE,December-20-2019,Single Family Residential,59 Crooked Trl,Woodstock,CT,06281,293000,2,2.5,Woodstock,1366,26136,1975,668,214,,Sold,,,http://www.redfin.com/CT/Woodstock/59-Crooked-Trl-06281/home/53653830,Smart MLS,170249733,N,Y,41.9455419,-72.0731802
PAST SALE,November-29-2017,Single Family Residential,345 Bungay Hill Rd,Woodstock,CT,06281,126250,4,2.0,Woodstock,1959,108900,1974,1419,64,,Sold,,,http://www.redfin.com/CT/Woodstock/345-Bungay-Hill-Rd-06281/home/53653637,Smart MLS,170030110,N,Y,41.9604076,-72.0722544
PAST SALE,September-22-2017,Single Family Residential,19 Hiawatha Hts,Woodstock,CT,06282,350000,3,2.0,Woodstock,1940,17424,1975,1487,180,,Sold,,,http://www.redfin.com/CT/Woodstock-Valley/19-Hiawatha-Hts-06282/home/53653601,Smart MLS,170001379,N,Y,41.9527427,-72.0668383
PAST SALE,June-29-2018,Single Family Residential,33 Red Cedar Rd,Woodstock,CT,06282,193000,3,1.0,Woodstock Valley,1472,20037,1979,1207,131,42,Sold,,,http://www.redfin.com/CT/Woodstock-Valley/33-Red-Cedar-Rd-06282/home/53653507,Smart MLS,170081003,N,Y,41.9517478,-72.061554
PAST SALE,May-18-2017,Single Family Residential,34 Indian Spring Rd,Woodstock,CT,06281,310000,2,1.0,Woodstock,1004,21780,1972,1614,309,,Sold,,,http://www.redfin.com/CT/Woodstock/34-Indian-Spring-Rd-06281/home/53654004,Smart MLS,G10212353,N,Y,41.9447505,-72.0698936
PAST SALE,,Single Family Residential,65 Hemlock Dr,Woodstock Valley,CT,06282,249000,3,2.5,,1243,13068,2018,,200,,,,,http://www.redfin.com/CT/Woodstock-Valley/65-Hemlock-Dr-06282/home/53653885,,,N,Y,41.9540757,-72.0626349
PAST SALE,,Single Family Residential,2 Walnut Rd,Woodstock,CT,06281,207500,3,2.5,,1196,13068,1966,,173,,,,,http://www.redfin.com/CT/Woodstock/2-Walnut-Rd-06281/home/53653946,,,N,Y,41.9597668,-72.0685048
PAST SALE,August-22-2019,Single Family Residential,20 Crooked Trl,Woodstock,CT,06281,235000,3,2.0,Woodstock Valley,1352,26136,1977,788,174,45,Sold,,,http://www.redfin.com/CT/Woodstock/20-Crooked-Trl-06281/home/53654179,Smart MLS,170193183,N,Y,41.9429453,-72.0722081
PAST SALE,January-4-2019,Single Family Residential,57 Red Cedar Rd,Woodstock,CT,06282,205000,3,2.0,Woodstock Valley,1281,17424,1988,1018,160,48,Sold,,,http://www.redfin.com/CT/Woodstock-Valley/57-Red-Cedar-Rd-06282/home/53654726,Smart MLS,170141070,N,Y,41.9532372,-72.0615147
PAST SALE,,Single Family Residential,1412 CT-171,Woodstock Valley,CT,06282,249000,3,2.5,,1872,217364,2017,,133,,,,,http://www.redfin.com/CT/Woodstock-Valley/1412-CT-171-06282/home/53654680,,,N,Y,41.9502859,-72.056169
PAST SALE,June-27-2018,Single Family Residential,83 Crooked Trail Ext,Woodstock,CT,06281,264500,2,1.0,Woodstock,1216,,1988,1209,218,,Sold,,,http://www.redfin.com/CT/Woodstock/83-Crooked-Trail-Ext-06281/home/49769025,MLS PIN,72178672,N,Y,41.9557073,-72.0731339
PAST SALE,January-30-2018,Single Family Residential,25 Sand Hill Rd,Woodstock,CT,06282,198150,3,2.0,Woodstock Valley,1880,25700,1986,1357,105,,Sold,,,http://www.redfin.com/CT/Woodstock-Valley/25-Sand-Hill-Rd-06282/home/53654890,Smart MLS,170025158,N,Y,41.9494874,-72.06457
PAST SALE,,Single Family Residential,155 Laurel Hill Drive Dr,Woodstock,CT,06282,,3,1.5,,1245,8712,1975,,,,Sold,,,http://www.redfin.com/CT/Woodstock-Valley/155-Laurel-Hill-Dr-06282/home/53654946,Smart MLS,,N,Y,41.9533682,-72.0648941
PAST SALE,June-14-2019,Single Family Residential,23 Walnut Rd,Woodstock,CT,06281,221500,3,2.0,Woodstock,1482,17424,2005,857,149,,Sold,,,http://www.redfin.com/CT/Woodstock/23-Walnut-Rd-06281/home/53655627,Smart MLS,170186162,N,Y,41.9585125,-72.0691066
