,SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
0,PAST SALE,March-31-2021,Single Family Residential,28 Hillandale Rd,Danbury,CT,6811,499900.0,3.0,3.0,Danbury,2490.0,12196.0,2016.0,201.0,201.0,,Sold,,,http://www.redfin.com/CT/Danbury/28-Hillandale-Rd-06811/home/143122930,Smart MLS,170373555,N,Y,41.4290875,-73.4837711
1,PAST SALE,August-6-2021,Condo/Co-op,1465 E Putnam Ave #519,Greenwich,CT,6870,370000.0,1.0,1.0,Old Greenwich,765.0,,1977.0,73.0,484.0,395.0,Sold,,,http://www.redfin.com/CT/Old-Greenwich/1465-E-Putnam-Ave-06870/unit-519/home/107021872,Smart MLS,170404106,N,Y,41.0468381,-73.5704711
2,PAST SALE,August-12-2021,Condo/Co-op,9 Blue Mountain Rdg #9,Norwalk,CT,6851,456000.0,3.0,3.0,Cranbury,2199.0,,1987.0,67.0,207.0,490.0,Sold,,,http://www.redfin.com/CT/Norwalk/9-Blue-Mountain-Rdg-06851/unit-9/home/174374315,Smart MLS,170408281,N,Y,41.1317164,-73.4095463
3,PAST SALE,May-31-2019,Condo/Co-op,61 Hidden Brook Trl #61,Bethel,CT,6801,438000.0,3.0,3.5,Grassy Plain,3158.0,,2010.0,871.0,139.0,390.0,Sold,,,http://www.redfin.com/CT/Bethel/61-Hidden-Brook-Trl-06801/unit-61/home/147982642,Smart MLS,170176264,N,Y,41.3708439,-73.4336293
4,PAST SALE,November-13-2020,Condo/Co-op,30 Glenbrook Rd Unit 3D,Stamford,CT,6902,176000.0,1.0,1.0,Glenbrook,797.0,,1962.0,339.0,221.0,449.0,Sold,,,http://www.redfin.com/CT/Stamford/30-Glenbrook-Rd-06902/unit-3D/home/107108371,Smart MLS,170322054,N,Y,41.0564237,-73.5297339
5,PAST SALE,August-17-2020,Single Family Residential,46 Prudence Dr,Stamford,CT,6907,565000.0,4.0,2.0,Springdale,1628.0,10018.0,1950.0,427.0,347.0,,Sold,,,http://www.redfin.com/CT/Stamford/46-Prudence-Dr-06907/home/107082643,Smart MLS,170307041,N,Y,41.1003506,-73.5190232
6,PAST SALE,November-20-2019,Single Family Residential,24 White Birch Rd,Ridgefield,CT,6877,433750.0,4.0,3.0,Ridgefield,3028.0,44431.0,1955.0,698.0,143.0,,Sold,,,http://www.redfin.com/CT/Ridgefield/24-White-Birch-Rd-06877/home/53648384,Smart MLS,170187678,N,Y,41.245148,-73.4939526
7,PAST SALE,August-9-2021,Single Family Residential,1980 Cutspring Rd,Stratford,CT,6614,521500.0,4.0,2.5,Stratford,3185.0,26571.0,1991.0,70.0,164.0,,Sold,,,http://www.redfin.com/CT/Stratford/1980-Cutspring-Rd-06614/home/107219283,Smart MLS,170407198,N,Y,41.2426509,-73.1302237
8,PAST SALE,September-16-2021,Single Family Residential,121 Alberts Hill Rd,Newtown,CT,6482,710000.0,4.0,2.5,Sandy Hook,3480.0,93654.0,1995.0,32.0,204.0,,Sold,,,http://www.redfin.com/CT/Sandy-Hook/121-Alberts-Hill-Rd-06482/home/107638831,Smart MLS,170400102,N,Y,41.445563,-73.307146
9,PAST SALE,March-19-2021,Single Family Residential,90 Portland Ave,Wilton,CT,6897,485000.0,3.0,2.5,Georgetown,1710.0,53578.0,1995.0,213.0,284.0,,Sold,,,http://www.redfin.com/CT/Wilton/90-Portland-Ave-06897/home/107150493,Smart MLS,170350854,N,Y,41.2637249,-73.4374726
10,PAST SALE,June-1-2021,Condo/Co-op,216 Melody Ln #216,Fairfield,CT,6824,365000.0,3.0,1.5,Fairfield,1355.0,,1974.0,139.0,269.0,318.0,Sold,,,http://www.redfin.com/CT/Fairfield/216-Melody-Ln-06824/unit-216/home/172904365,Smart MLS,170385532,N,Y,41.1793719,-73.2499601
11,PAST SALE,November-16-2020,Single Family Residential,12 Empire Ln,Bethel,CT,6801,640000.0,4.0,2.5,Bethel,4640.0,49658.0,1997.0,336.0,138.0,,Sold,,,http://www.redfin.com/CT/Bethel/12-Empire-Ln-06801/home/107276484,Smart MLS,170331777,N,Y,41.4006242,-73.3845234
12,PAST SALE,July-16-2021,Single Family Residential,42 Well Ave,Danbury,CT,6810,350000.0,3.0,1.5,Danbury,1572.0,13068.0,1880.0,94.0,223.0,,Sold,,,http://www.redfin.com/CT/Danbury/42-Well-Ave-06810/home/107000206,Smart MLS,170396069,N,Y,41.3923743,-73.4697882
13,PAST SALE,May-7-2021,Single Family Residential,30 Cherry St,Darien,CT,6820,565000.0,3.0,2.0,Noroton Heights,1432.0,6098.0,1951.0,164.0,395.0,,Sold,,,http://www.redfin.com/CT/Darien/30-Cherry-St-06820/home/107157763,Smart MLS,170244589,N,Y,41.0686235,-73.4834138
14,PAST SALE,October-1-2021,Condo/Co-op,19 Ryan Ave Unit B,Norwalk,CT,6854,442000.0,3.0,2.5,South Norwalk,2388.0,,2007.0,17.0,185.0,250.0,Sold,,,http://www.redfin.com/CT/Norwalk/19-Ryan-Ave-06854/unit-B/home/107828770,Smart MLS,170407220,N,Y,41.080825,-73.4257328
